sentence,label
A collision between the ACROBOTER robotic platform and an unknown object must be avoided at all times.,constraint
A non‐patient is injured or killed by radiation.,loss
A nonpatient is injured or killed in the process of MRI simulation.,loss
A pair of controlled aircraft violates minimum separation standards.,hazard
A person or worker is standing/working under or passing through the excavators’ range cycle.,hazard
"A storage method for using chemicals, such as FIFO (First-In, First-Out), should be adopted.",constraint
A/C must maintain minimum safe altitude limits.,constraint
A/C must maintain minimum safe separation distance.,constraint
A/C not compliant with airworthiness requirements.,hazard
"Absence of warning when vehicle moves out of lane, resulting in a collision.",hazard
ACC did not illuminate brake light to warn vehicle in the behind.,hazard
"ACC did not maintain a safe distance from the object in the front, resultng in collision.",hazard
ACC does not maintain a safe distance from the object in the front (resulting in a collision).,hazard
ACC does not reduce throttle and apply the braking force to maintain safe distance as preset by driver when vehicle catches up with a slower preceding vehicle.,hazard
ACC estimates wrong values of distance and speed of vehicle ahead.,hazard
ACC must not brake too abruptly.,constraint
ACC must not violate separation requirements with object ahead.,constraint
ACC should not brake too abruptly.,constraint
ACC should not let the vehicle gets in contact with the object ahead.,constraint
ACC slows down the vehicle too abruptly (and vehicle is rear-ended).,hazard
"ACC slows down the vehicle too abruptly, and vehicle is rear-ended.",hazard
ACC violates the safe distance between ACC vehicle and vehicle in front.,hazard
ACS must not continue providing attitude maneuver commands too long after attitude has stabilized.,constraint
ACS must not provide attitude maneuver commands in the same direction as rotation.,constraint
ACS must not provide attitude maneuver commands too early to achieve desired attitude.,constraint
ACS must not provide attitude maneuver commands too late after ASTRO-H has rotated too far.,constraint
ACS must not provide attitude maneuver commands when ASTRO-H is not rotating.,constraint
ACS must not stop providing attitude commands too soon before attitude has stabilized.,constraint
ACS must provide attitude maneuver commands that are sufficient to slow ASTRO-H quickly.,constraint
ACS must provide attitude maneuver commands when ASTRO-H is rotating.,constraint
"Actuator (Throttle, Spark, Fuel, etc.) Control shall be synchronized with axle torque request.",constraint
"After rotation, the skid angle must be reduced to keep wings leveled.",constraint
Aircraft (including both manned and unmanned systems) in the air are damaged or destroyed.,loss
Aircraft airframe integrity is degraded.,hazard
Aircraft comes too close to airport infrastructure components during operations on the ground.,hazard
Aircraft comes too close to service equipment components during operations on the ground.,hazard
Aircraft component is powered up when hazardous FLS is installed,hazard
Aircraft component must not be powered up when hazardous FLS is installed.,constraint
Aircraft crashes into terrain / ocean.,loss
Aircraft crashes.,loss
Aircraft does not stop before the runway end.,hazard
Aircraft enters a prohibited area.,hazard
Aircraft enters a runway with no clearance.,hazard
Aircraft enters an unsafe atmospheric region.,hazard
Aircraft enters prohibited area.,hazard
Aircraft enters prohibited area.,hazard
Aircraft enters uncontrolled state.,hazard
Aircraft enters uncontrolled state.,hazard
Aircraft enters uncontrolled state.,hazard
Aircraft enters unsafe atmospheric region.,hazard
Aircraft enters unsafe atmospheric region.,hazard
Aircraft enters unsafe attitude (excessive turbulence or pitch/roll/yaw that causes passenger injury but not necessarily aircraft loss).,hazard
Aircraft enters unsafe attitude.,hazard
Aircraft enters unsafe attitude.,hazard
Aircraft environment is harmful to human health.,hazard
Aircraft flying off the route specified at flight plan.,hazard
Aircraft is operated when hazardous FLS is installed.,hazard
Aircraft loses its control or loses airframe integrity.,hazard
Aircraft must be dispatched.,constraint
Aircraft must maintain criteria for stable approaches.,constraint
Aircraft must maintain its control and maintain airframe integrity.,constraint
Aircraft must maintain separation with ground or obstacles on ground.,constraint
Aircraft must maintain separation with other aircraft.,constraint
Aircraft must not be operated when hazardous FLS is installed.,constraint
Aircraft must not enter a runway without clearance.,constraint
Aircraft on ground must maintain separation with other objects and must not leave the paved area.,constraint
Aircraft on the ground comes too close to other objects or leaves the paved area.,hazard
Aircraft performs controlled maneuver into ground or into obstacles on ground.,hazard
"Aircraft placed on trajectory or position that intersects with a physical obstruction (e.g., loss of separation, controlled flight into terrain).",hazard
"Aircraft placed on trajectory that intersects with dangerous atmospheric conditions (e.g., storms, volcanic ash).",hazard
Aircraft shall be capable of remaining airborn in a controlled manner throughout the operation.,constraint
"Aircraft shall not enter a controlled airspace without broadcasting their location through Mode C, ADS-B, or IFF.",constraint
Aircraft shall not enter a controlled airspace without verbal confirmation from the controller.,constraint
Aircraft should maintain a safe distance from obstacles and notify the operator when reaching the minimum distance.,constraint
Aircraft veers to a runway side.,hazard
Aircraft violate minimum separation standards in flight.,hazard
Aircraft violate minimum separation with other aircraft.,hazard
Aircraft violates criteria for stable approaches.,hazard
Aircraft violates minimum separation from airspace or other aircraft.,hazard
Aircraft violates the minimum separation from other aircrafts during operations on the ground.,hazard
Aircraft violates the minimum separation from service vehicles during operations on the ground.,hazard
Airframe integrity is lost during operations on the ground.,hazard
Airframe integrity must not be lost during flight.,constraint
Airport infrastructure component integrity is lost during operations.,hazard
All inspection procedures must be coordinated between implementers.,constraint
All the safety/mission critical military aerospace designs and products shall be Certified to allow use or operation.,constraint
An abnormal termination instruction must be given immediately if an abort is required.,constraint
An abnormal termination instruction must be given when continuing the ITP would be unsafe.,constraint
An abnormal termination instruction must not be given when it is not required to maintain safety and would result in a loss of separation.,constraint
"An emergency shall stop the train, Doors shall open in an emergency after the train has stopped.",constraint
"An incident during this mission directly causes another mission to fail to collect, return, and/or use the scientific data corresponding to its mission goals.",loss
Approval must be given to the requesting aircraft only.,constraint
Approval must not be given too early or too late (needs to be clarified as to the actual time limits).,constraint
Approval of an ITP request must be given only when the ITP criteria are met.,constraint
"Asset damage (ship, battery trailer).",loss
ASTRO-H unable to collect scientific data.,hazard
ASTRO-H unable to communicate scientific data.,hazard
"At the launch rail, vehicle stages must be prevented from igniting before planned, even when subjected to commands or electric discharges.",constraint
Authorities do not award permits to the Project when required for start of related Project construction activities.,hazard
Autopilot does not react to other road crossing vehicles/obstacles.,hazard
Autopilot must send objects to Autopilot HMI when required.,constraint
Autopilot must send road signs to Autopilot HMI when required.,constraint
AV activates due to incorrect request during autonomous maneuver.,hazard
AV activates without request during autonomous maneuver.,hazard
AV behavior is uncomfortable for the passengers.,hazard
AV collision with vulnerable road user (VRU).,loss
AV does not maintain a safe distance from vulnerable road users (VRUs) or other stationary or moving objects in the surroundings.,hazard
AV does not maintain safe distance to another AV.,hazard
AV does not maintain safe distance to structure.,hazard
AV does not maintain safe distance to VRU.,hazard
AV does not respond to requests during autonomous maneuver.,hazard
AV gets damaged.,loss
AV leaves designated path.,hazard
AV leaves the designated demo zone.,hazard
AV loses control.,hazard
AV must adhere to the allowed operating limits advised by the traffic rules and ODD limitations.,constraint
AV must adhere to the designated path.,constraint
AV must maintain a safe distance from VRUs and other stationary and moving objects in the surroundings.,constraint
AV must never lose control.,constraint
AV must provide a comfortable experience to the passengers when driving or stationary.,constraint
AV violates allowed operating conditions.,hazard
Avoid operation beyond the permissible limits (emergency cases are excluded).,constraint
"Avoiding the concurrence of flammable substances, oxidizer and ignition source.",constraint
"Avoiding the interaction of flammable substances, oxidizer and ignition source.",constraint
Blown tire procedure not followed.,hazard
Brake light command must illuminate early within X-seconds before stopping vehicle.,constraint
Brakes cannot be applied severely when aborting with strong crosswind.,constraint
Cabin parameters incompatible with human survival.,hazard
Catching fire inside the ship.,hazard
"Certification Authority personal, including Organization Designation Authorization (ODA), unqualified to the product in analyse or at the certification process.",hazard
Certification Process implemented is not adequate to identify critical flaws or loss scenarios.,hazard
Certification Process temporally interrupted due to budgetary constraints to the project.,hazard
Certification Tests not performed as scheduled.,hazard
Chemical plant must not release toxic chemicals into the atmosphere.,constraint
Collateral Damage.,loss
Collision between the ACROBOTER robotic platform and an unknown object (both human or material).,hazard
Collision of a manned and unmanned aircraft.,hazard
Collision of an unmanned aircraft with a person on the ground.,hazard
Collision of an unmanned aircraft with a structure on the ground.,hazard
Collision of two unmanned aircraft.,hazard
Collision with ISS.,loss
"Collisions resulting in loss of life, damage or severe disturbance of daily operation.",loss
Commands for dosage exceeding the patient's tolerance are sent to the pump.,hazard
Commitments or obligations are not in line with USCG financial policy.,hazard
Commitments or obligations are recorded in excess of funding limitations.,hazard
Company doesn’t complete the certification processes.,hazard
Company reputation.,loss
Company takes actions inconsistent with stated values.,hazard
Computer must not close water valve before catalyst valve closes.,constraint
Computer must not close water valve while catalyst valve open.,constraint
Computer must not open catalyst valve when water valve not open.,constraint
Computer must open water valve whenever catalyst valve is open.,constraint
Computer must open water valve within X seconds of catalyst valve open.,constraint
Consumer (rider) PII exposed to unauthorized individuals.,hazard
Contaminated Enviroment.,loss
Contamination of Outer Planet Moon with biological agents of Earth origin on mission hardware.,hazard
"Control system shall control the actuator (Throttle, Spark, Fuel, etc.) correctly in response to axle torque request.",constraint
Controlled Flight Into Terrain (CFIT).,hazard
Controlled Flight into Terrain.,hazard
Controlled flight of aircraft into terrain.,hazard
Controlled maneuver into ground.,hazard
Controller shall allow time for passengers to exit & enter before attempting to close the door.,constraint
Controller shall not close Door while a passenger is in the doorway.,constraint
"Controller shall not open Door while train is moving, only when stopped.",constraint
Controller shall open Door in an emergency.,constraint
Controller shall open Door when Train is stopped in Station.,constraint
Controller shall report the state of the Door to the next-higher level of control.,constraint
Controllers shall confirm that an aircraft has exited the zone via both voice communications and radar confirmation.,constraint
Controllers shall confirm that the small arms range is inactive.,constraint
Controllers shall confirm that there are no rocket tests ongoing.,constraint
Controllers shall monitor radar returns of aircraft that are ascending/descending to ensure minimum separation requirements.,constraint
Controllers shall not approve requests for access to zones other than those that they are controlling.,constraint
correct patient results must be reported to the Audiologist.,constraint
"Corrective action (torque to the steering) provided in the wrongdirection, causing a collision.",hazard
"Corrective action provided when it isn’t required, resulting in a collision.",hazard
Crossing runways only when runway is not used for take off / landing.,constraint
CSCP provides send impedance values command when ITMS is not connected.,hazard
Customer's data misused by authorized 3rd parties.,hazard
Customer's data misused by JID.,hazard
Customer's data must be not be misused by JIT.,constraint
Customer's data must not be misused even by authorized 3rd parties.,constraint
Customer's data must not be released to public.,constraint
Customer's data must not be released to unauthorized 3rd parties.,constraint
Customer's data released to public.,hazard
Customer's data released to unauthorized 3rd parties.,hazard
"Damage and/or interruption of operations of other systems (Supporting infrastructure, other satellites, all other equipment).",loss
Damage of property (internal or external company).,loss
Damage or loss of equipment.,loss
Damage or loss of equipment.,loss
Damage or loss of equipment.,loss
Damage to adjacent local infrastructure during Project construction activities.,hazard
Damage to airport infra-structure and/or proximities.,loss
Damage to equipment or infrastructure.,loss
damage to equipment.,loss
Damage to equipment.,loss
Damage to equipment.,loss
Damage to or loss of aircraft.,loss
"Damage to patient or staff satisfaction, or hospital reputation.",loss
Damage to SSRMS.,loss
Damage to the aircraft or objects outside the aircraft.,loss
Damage to the aircraft.,loss
Damage to the Laboratorial Facility or the laboratory equipment.,loss
Damage to the ship or objects outside the ship.,loss
Damage to the vehicle or objects outside the vehicle.,loss
Damage to the vehicle.,loss
Damage to valuable SGC components.,loss
Data Fusion and Assessment must provide assessed environment model to Autopilot when required.,constraint
Data obtained by instrumentation must be stored and/or transmitted to supporting infrastructure.,constraint
Death or Human injury.,loss
Death or injury of patient or non-patient not due to radiation.,loss
Death or injury to persons.,loss
Death or injury.,loss
Death or serious injury to rider or operator.,loss
"Death, illness, or injury due to exposure to toxic chemicals.",loss
"Death, injury, or property damage resulting from a collision with a person, vehicle, object, or terrain.",loss
Debris from an aircraft impacts another aircraft.,hazard
Debris from an unmanned aircraft strikes a person on the ground.,hazard
Debris from an unmanned aircraft strikes a structure on the ground.,hazard
"Deck crew must be well trained, and equipment properly maintained and inspected.",constraint
Depth should be continuously monitored.,constraint
"Design, Product, Quality Management System or Manufacturing Process certified with safety or mission related requirements not verified or not specified.",hazard
Directional deviations must be corrected smoothly and continuously.,constraint
Discriminations in the nation.,hazard
Disruption on processing or transport.,loss
Door closes on a person.,hazard
Doors close on a person in the doorway.,hazard
Doors close on passenger in doorway.,loss
Doors close while person in the doorway.,hazard
Doors must not be closed if someone is in the doorway.,constraint
Doors must not be opened until train is stopped and aligned with platform.,constraint
Doors open when not aligned to platform.,hazard
Doors open when the train is moving or not at platform.,hazard
Doors open when the train is moving.,hazard
Doors open while train is in motion or not aligned with station platform.,hazard
Doors shall open at station when train is completely stopped and aligned with platform.,constraint
Doors shall remain closed when train is moving.,constraint
"Doors shall remain open when someone is in the doorway, the train shall not move until the doors close.",constraint
Doors stuck closed during emergency.,hazard
Doors stuck open.,hazard
Driver does not provide required attention to driving tasks and environment.,hazard
Driver must brake Model S when required.,constraint
Driver must know the correct limited speed through different kinds of ways (e.g. IC cards and the scheduler).,constraint
Driver must not perform other tasks when not allowed.,constraint
During a rejected takeoff the aircraft departs runway.,loss
"During laboratory handling and experiments with Energetic Materials, the Laboratory Operators must measure and receive data of the synthesis process variables conditions.",constraint
Economic loss.,loss
Ego vehicle applies hard acceleration.,hazard
Ego vehicle applies hard braking.,hazard
Ego vehicle applies insufficient braking.,hazard
Ego vehicle leaves its lane.,hazard
Ego vehicle must decelerate at rates greater than 0.9 m/s^2.,constraint
Ego vehicle must not accelerate at rates greater than 1 m/s^2.,constraint
Ego vehicle must not decelerate at rates greater than 4 m/s^2.,constraint
Ego vehicle must not leave the lane unless desired by the driver.,constraint
"Electronic, electrical, and mechanical device exposed to large magnetic or RF fields.",hazard
Energetic Materials are handled without operational training.,hazard
Energetic materials must be identified as to the particular danger of handling.,constraint
"Energetic materials must be identified as to the synthesis date, expiration date when industrialized, or revalidation date.",constraint
Energetic materials must be used as prescribed.,constraint
Energetic Materials usage out of the prescribed.,hazard
Engine remains stuck at high thrust during a rejected takeoff.,hazard
Ensure the correct communication with the IS to activate the pre-flight event.,constraint
Enter data with unauthorized modification.,hazard
Enviromental losses.,loss
Environment contaminated.,loss
Environmental Damage.,loss
Environmental loss (release).,loss
Environmental loss.,loss
Environmental loss/pollution.,loss
Environmental losses.,loss
Environmental losses.,loss
"Environmental: oil and fuel pollution, debris in nature.",loss
Equipment damage (economic loss).,loss
Equipment Damage.,loss
Equipment is subject to unexpected stress.,hazard
EQUIPMENT IS SUBJECT TO UNNECESSARY STRESS.,hazard
Equipment is subject to unnecessary stress.,hazard
Equipment operated beyond limits.,hazard
Equipment Operated Beyond Limits.,hazard
Equipment or procedure entraps user during processing.,hazard
Equipment subject to unnecessary stress.,hazard
Equipment under unnecessary stress.,hazard
Erroneous arrival of product.,loss
Erroneous payment to supplier.,loss
Excavator within the vicinity of overhead electric lines.,hazard
Exceeding structure load limits.,hazard
Exceeding the safe operating limits of the mooring systems.,hazard
Expired materials must be revalidated before use.,constraint
"Exposure of Earth life or human assets off Earth to toxic, radioactive, or energetic elements of mission hardware.",hazard
"Exposure of Earth life or human assets on Earth to toxic, radioactive, or energetic elements of mission hardware.",hazard
Facility or equipment damage.,loss
Fatalities or injury to persons.,loss
Fatalities.,loss
Ferromagnetic object exposed to a large magnetic field.,hazard
Financial loss or loss of hospital reputation.,loss
Financial loss or loss of hospital reputation.,loss
Financial loss.,loss
Financial losses.,loss
Fire spread.,hazard
Flight controls misuse during takeoff run.,hazard
Flight crew is overworked.,hazard
Flight in airspace contaminated by VA.,hazard
Flight parameters fall outside of performance limits.,hazard
Flooding of contiguous watertight compartments.,hazard
Flying payload may be accidentally thrown by the robotic platform.,hazard
Flying to Close to other aircraft/out of position.,hazard
Follow-up must be provided to ensure that recommendations have been implemented and are effective.,constraint
Food products for sale contain pathogens.,hazard
Food products for sale contain pathogens.,hazard
Food products with pathogens must not be sold.,constraint
Food products with pathogens must not be sold.,constraint
FRGF is unintendedly separated from HTV before or during capture.,hazard
Gear for wrong direction.,hazard
H2O/Ice (other) Accumulation.,hazard
Heat and smoke detectors should trigger an alarm and extinguishing systems.,constraint
"Heat removal and fission clean up fail when the three events—LOCA, S/WP-Ex, or the SIAS—occur.",hazard
High pressure water not contained.,hazard
High/Low Air Pressure.,hazard
High/Low Air Temperature.,hazard
"HTV cannot be separated immediately when grappled unsafely (e.g., windmill).",hazard
HTV is drifting to ISS while uncontrolled (deactivated).,hazard
HTV is inclined by a large angle in proximity to SSRMS.,hazard
HTV provides thrust while captured by SSRMS.,hazard
HTV provides unintended attitude control in proximity to SSRMS.,hazard
Human exposure to loud noise.,hazard
Human injury or loss of life.,loss
"Human life, injury, motion sickness, fright.",loss
Human or equipment exposure to cryogen or quench gas.,hazard
Human overexposure to large magnetic field or RF field.,hazard
Human physical integrity is lost during operations.,hazard
Human serious injury or loss of life.,loss
Humans and/or human assets off of the earth are killed/damaged.,loss
Humans and/or human assets on earth are killed/damaged.,loss
"Humans exposed to radiated energy or to toxic, radioactive, or energetic elements of mission hardware.",hazard
"Humans injured or killed (On earth, in air, in space).",loss
"If a person is detected in doorway during door closing, door closing must be stopped and reversed.",constraint
"If control over the ship is lost, then it must be detected and measures should be taken to regain control over the ship.",constraint
"If the control propulsion output stops, System propulsion output shall be gradually ramped to zero with operator notification. Graceful transition to a safe state.",constraint
"If toxic chemicals are not contained, damage must be mitigated.",constraint
"If ventilation does not maintain methane level below 2%, this must be detected, electricity must be cut off, and workers must follow specific procedures to reduce the methane content.",constraint
"If ventilation does not maintain methane level below 3%, this must be detected, electricity must be cut off, and workers must abandon the workplace immediately.",constraint
"If ventilation does not maintain oxygen level over 19%, this must be detected, and workers must use self-rescuers and abandon the workplace.",constraint
"If ventilation turned off, the workplace must be abandoned immediately.",constraint
"In areas where terrain masking may occur, the controller shall maintain awareness of aircraft that have requested access to the airspace.",constraint
"In case of budget restriction is unavoidable, the company management shall prioritize the activities without compromising safety or performance aspects.",constraint
"In the event of an unintended ignition, the vehicle must remain fixed to the launching rail, avoiding an unplanned route.",constraint
Inability of companies / organizations to operate normally.,hazard
Inability of control for intended flight.,hazard
Inability of Mission scientific investigators to use returned data.,hazard
Inability of Mission to collect data.,hazard
Inability of Mission to return collected data.,hazard
"Inability of other space exploration missions to use shared space exploration infrastructure to collect, return, or use data.",hazard
Inability to complete the mission.,loss
Inability to confirm product integrity.,hazard
Inability to control the aircraft.,hazard
Inability to pay correctly.,hazard
