sentence,label
Systems or equipment are exposed to excessive levels of hazardous energy.,hazard
Take off / landing executed only when runway is empty.,constraint
"TCAS causes or contributes to a near midair collision (NMAC), defined as a pair of controlled aircraft violating minimum separation standards.",hazard
TCAS causes or contributes to an aircraft coming too close to a fixed structure or natural terrain.,hazard
TCAS causes or contributes to the pilot losing control over the aircraft.,hazard
"TCAS interferes with an ATC advisory that is safety-related (e.g., avoiding a restricted area or adverse weather conditions).",hazard
"TCAS interferes with other safety-related aircraft systems (for example, ground proximity warning).",hazard
"TCAS interferes with the ground-based air traffic control system (e.g., transponder transmissions to the ground or radar or radio services).",hazard
TCAS must always provide an RA in time to prevent an NMAC.,constraint
TCAS must not disrupt the pilot and ATC operations during critical phases of flight nor disrupt aircraft operation.,constraint
TCAS must not interfere with the ground ATC system or other aircraft transmissions to the ground ATC system.,constraint
TCAS must not provide RAs that degrade vertical separation.,constraint
TCM Protection activates causing inadvertent engine shutdown.,hazard
Temperature must never violate maximum value.,constraint
Temperature too high.,hazard
Testing or flight operations are unable to be conducted.,loss
The ACC vehicle crashes with a vehicle in front when the ACC system is in active mode (Forward Collision vehicle to vehicle).,loss
The ACROBOTER robotic platform must not release the payload.,constraint
The aircraft have insufficient power available.,hazard
The aircraft loss the communication with base.,hazard
The aircraft loss the flight capability.,hazard
The aircraft must be able to generate enough power to keep the systems running properly.,constraint
The aircraft must be controllable by the pilot or piloting function in an OPV (optionally piloted vehicle) at all times.,constraint
The aircraft must be maneuvered within the safety envelope.,constraint
The aircraft must maintain constant communication with the base throughout the operation.,constraint
The aircraft must maintain minimum separation from potential sources of collision.,constraint
The aircraft must never fly off the route specified at the flight plan.,constraint
The aircraft violates the minimum safety distance.,hazard
The AMS must avoid H2O/Ice accumulation.,constraint
The AMS must not distribute air inside the aircraft which is unacceptably contaminated.,constraint
The AMS must not extract air from from the inappropriate sources at the inappropriate.,constraint
The AMS must not let the air pressure reach values out of the prescribed limits for thedestination environment.,constraint
The AMS must not let the air temperature reach values out of the prescribed limits for the destination environment.,constraint
The AMS must not transport air to inappropriate environments at inappropriate times.,constraint
The app must command the pump to stop if the patient's vital signs indicate over-infusion.,constraint
The app must inform the display of the pump command status.,constraint
The app must inform the display of the status of the patient's vital signs.,constraint
The burnout of 2E must be detected.,constraint
The burnout of 3E must be detected.,constraint
The Certification Authority personnel shall be qualified according to project/production area they are analysing.,constraint
The Certification Authority personnel shall be qualified at the certification process.,constraint
The certification process shall allow identification of critical flaws and loss scenarios.,constraint
The certification process shall allow verification of all safety critical or performance requirements and also the system functions.,constraint
"The certification process shall be continuously updated, allowing improvement of the procedures and regulations.",constraint
The Control system shall determine the axle torque request periodically.,constraint
The Control System shall not miscalculate the Axle Torque request.,constraint
The Controller shall warn passengers when the door is about to open or close.,constraint
The CREVAS must operate when the two events—High-level radioactive at air intakes of MCR or the SIAS—occur.,constraint
The crew shall be given positive notification of arrival at the requested FL.,constraint
"The CSAS must operate when the three events—LOCA, S/WP-Ex, or the SIAS—occur.",constraint
The damage to people or properties on the ground.,hazard
The dispatcher in the CTC and the watch keeper should identify the potential danger in the railway line and command the train to slow down or stop in emergency situations.,constraint
The driver is able to override the ACC system at any time by activating the brake or accelerator pedal.,hazard
The energetic material state must not differ from the safety acceptable conditions to be handled.,constraint
The failures in the Train Control System must be identified and provided as feedback to the dispatcher of CTC in time.,constraint
The FI must assist the trainee in enforcing these safety constraints.,constraint
The FI must take over the control to enforce these safety constraints if necessary.,constraint
The financial budget for the project development and production shall be allocated by the sponsors.,constraint
The flight crew must execute the ITP immediately when approved unless it would be dangerous to do so.,constraint
"The flight crew must execute the ITP with correct climb rate, flight levels, Mach number, and other associated performance criteria.",constraint
The flight crew must have control of the aircraft all the time.,constraint
The flight crew must never violate predetermined minimum/maximum altitude.,constraint
The flight crew must never violate the minimum distance to other aircraft.,constraint
The flight crew must not abort the ITP unnecessarily. (Rationale: An abort may violate separation minimums),constraint
The flight crew must not continue the ITP maneuver when it would be dangerous to do so.,constraint
The flight crew must not execute an ITP when the ITP criteria are not satisfied.,constraint
The flight crew must not execute the ITP before approval by ATC.,constraint
The flight crew must not execute the ITP when it has not been approved by ATC.,constraint
The ignition of the second rocket stage (2E) must be detected.,constraint
The intervention between ACC system and driver should be limited to the traffic environment and conditions.,constraint
The Laboratory Managers must periodically implement training for safely handling Energetic Materials to the Laboratory Supervisors and Operators.,constraint
The laboratory supervisor must supervise the laboratory activities to verify the safety standards for handling energetic materials.,constraint
"The Laboratory Supervisors must be a part of the scale of the energetic material manipulated, if the authorizations are correct, and if the work is conducted at the appropriate time with people to provide first aid or trigger emergency mode if necessary.",constraint
The LKA system must not allow the vehicle switch to lanes without the correct turn-indicator being actuated.,constraint
The LKA system must not perform corrective action if the correct turn-indicator is actuated (if the direction of deviation is the same as the turn-indicator).,constraint
The LKA system must verify that corrective action has beenperformed either from its inputs or feedback from the electrical steering system.,constraint
The operator should always be able to control the attitude and flight path during the whole flight.,constraint
"The owner of a certificate product shall be aware of the expiration date, if applicable, and provide the necessary documentation to avoid its expiration.",constraint
The owner of a certificate product shall maintain the system safety and the manufacturing according to the design approved to avoid the certificate to be cancelled.,constraint
The patient is injured or killed from subsequent treatment due to inaccurate MRI simulation.,loss
The patient is injured or killed in the process of MRI simulation.,loss
The pilot must always follow the RA provided by TCAS.,constraint
The pilot of a TCAS-equipped aircraft must have the option to switch to the Traffic-Advisory mode where traffic advisories are displayed but display of resolution advisories is prohibited.,constraint
The population has an increase in infected cases.,hazard
The possibility of progressive flooding should be monitored and detected on time.,constraint
The procedure for landing with a blown tire must be completely followed.,constraint
"The products shall be in conformity with the design. If it’s not, it shall not be used or operated.",constraint
The public must not be exposed to pathogens in drinking water.,constraint
The Quality Management Systems and Manufacturing Processes of the Company’s related to the Aeronautics and Space activities shall be certified.,constraint
"The reports, procedures and documents not approved by Certification Authority shall be revised and the revisions shall be submitted to the Certification Authority for approval. It might be necessary to repeat test or simulations in order to verify design changes.",constraint
The scientific data corresponding to the mission goals are not collected.,loss
"The scientific data is rendered unusable (e.g., deleted, corrupted, not returned at required time) before it can be fully investigated.",loss
The separation of the first rocket stage (1E) must be detected.,constraint
The ship is approaching shallow water.,hazard
The ship is very close to another ship or object.,hazard
The ship must be maintained properly so that the occurrence of fire is prevented.,constraint
The ship's propulsion system is operating beyond the permissible limits.,hazard
"The SIAS must operate when the 4 events—LOCA, 2ndHSL, S/WP-Ex, or REA—occur.",constraint
The software must receive the NAV_ON to initialize the flight time.,constraint
The spotter should be in a positions which will provide him the maximum possible observation range and minimum blind spots.,constraint
The spotter should have in his disposal visual signs to attract the attention of the operators.,constraint
The system must not disrupt the pilot and ATC operations during critical phases of flight nor disrupt aircraft operation.,constraint
The system process variables violate the minimum safety acceptable standards conditions for energetic materials.,hazard
The system reports the patient’s required results from the controller too late.,hazard
The takeoff must be aborted at the first sign of loss of directional control.,constraint
The test planning shall consider the financial restrictions and the management risks of the project.,constraint
The train derails.,loss
"The train did not stop at the parking screen window, open the door.",hazard
The train exceeds speed limit of switch P10.,hazard
The train exceeds speed limit of switch P2602.,hazard
The train exceeds speed limit on tie line.,hazard
The train hits obstacles that violated the limit.,loss
The train hits personnel.,loss
"The train in the process of moving, and open the door.",hazard
The train shall remain stopped and a door open command issued if an object is detected in the doorway when doors are closed.,constraint
The train squeezes at switch.,loss
The transition of primary flight controls in the rotation should be performed smoothly and continuously.,constraint
The vehicle behind crashes the ACC vehicle when the ACC system detects an object in the vehicle path (Backward Collision vehicle to vehicle).,loss
"The vehicle does not maintain a safe minimum distance between itself and obstacles such as pedestrians, vehicles, objects, and terrain.",hazard
"The vehicle parks inappropriately, either in an unsuitable space (e.g. blocking a fire hydrant) or in violation of parking guidelines (e.g. excessively far from the curb).",hazard
The vehicle should keep adequate distance and height against the people and properties on the ground.,constraint
There must be no person between train doors and PSDs when the train start.,constraint
There shall never be smoke inside the cabin.,constraint
There shall never be uncontrolled fire on board.,constraint
Toxic chemicals from the plant are in the atmosphere.,hazard
Toxic chemicals must be contained within plant equipment.,constraint
Toxic chemicals must not be released.,constraint
Toxic plant chemicals must not be released into the atmosphere.,constraint
Train departures while door has not been closed completely.,hazard
Train derails.,hazard
Train must not move with doors open.,constraint
Train must run within limited speed.,constraint
Train start with people between train door and PSD.,hazard
Two aircraft collide.,loss
Two aircraft violate minimum separation.,hazard
Two aircraft violate minimum separation.,hazard
Two or more vehicles collide.,loss
Two or more vehicles collide.,loss
Two or more vehicles collide.,loss
Two or more Vehicles Collide.,loss
Two or more vehicles collide.,loss
Two trains are on the same “Occlusive Section” travelling at different speed.,hazard
UAS operations shall not induce or contribute to a controlled flight into terrain maneuver.,constraint
UAS operations shall not induce or contribute to loss of aircraft controlled flight.,constraint
UAS operations shall not lead to a loss of minimum separation requirements.,constraint
"UAS operations shall, when possible, be conducted well away from the boundaries of the airspace.",constraint
UAS operator shall immediately inform the controller if the UAV position becomes unclear.,constraint
UAS operator shall immediately inform the controller in the event of a UAV malfunction.,constraint
UAS operator shall immediately notify the losing controller if the UAV is incapable of exiting the old airspace.,constraint
UAS operator shall read back airspace clearance to controller.,constraint
"UAV departs apron, taxiway, or runway during ground operations.",hazard
UAV departs controlled flight.,hazard
UAV does not complete mission.,hazard
UAV too close to ground/building/person.,hazard
UAV violates minimum separation requirements.,hazard
Unable to Complete Mission.,loss
Unable to dispatch aircraft.,hazard
Unable to evade enemy threats.,hazard
Unacceptable Air Contamination.,hazard
Unauthorized access to aircraft equipment (electronic and physical).,hazard
Unauthorized access to hospital/patient information.,hazard
Unauthorized individuals accessing port system infrastructure.,hazard
Unauthorized individuals must not access the port system infrastructure.,constraint
Unauthorized user is allowed through.,hazard
Unauthorized/unconsented disclosure/release of PII/PD.,hazard
Uncontrolled aircraft.,hazard
Uncontrolled fire on board.,hazard
Uncontrolled flight over congested area.,hazard
Uncontrolled release of toxic chemicals.,hazard
Uncoordinated implementation of inspection procedures.,hazard
Unintended Change of Direction.,hazard
Unintended Park Disengagement.,hazard
Unintended Propulsion.,hazard
Unmanned aircraft loses controlled flight capability.,hazard
Unmanned aircraft testing unnecessarily interferes with flight operations.,hazard
Unnecessary loss of relevant functions.,hazard
Unplanned damage or disruption of the satellite (LOV).,loss
Unsafe separation from other flying objects during controlled flight.,hazard
Unsafe separation from terrain / objects on ground during controlled flight.,hazard
Unwanted or Excessive Lateral Motion.,hazard
Unwanted or Excessive Negative Longitudinal Motion.,hazard
Unwanted or Excessive Positive Longitudinal Motion.,hazard
USCG contracts are executed prior to sufficient funds being appropriated or committed.,hazard
"Vehicle (driven by human, automation or in cooperation) leaves the roadway.",hazard
"Vehicle (driven by human, automation or in cooperation) violates minimum safety distance to objects, road users, vehicles, etc.",hazard
Vehicle collides with a moving body.,loss
Vehicle collides with a non-moving body.,loss
Vehicle collides with non-fixed obstacle.,loss
Vehicle collides with non-fixed obstacle.,loss
Vehicle collides with non-fixed obstacle.,loss
Vehicle Collides with Pedestrian(s).,loss
Vehicle crashes into terrain.,loss
Vehicle crashes into terrain.,loss
Vehicle crashes into terrain.,loss
Vehicle crashes when Autopilot is active.,loss
Vehicle does not maintain minimum separation against other moving bodies.,hazard
Vehicle does not maintain minimum separation against static bodies.,hazard
Vehicle does not maintain safe distance from nearby objects.,hazard
Vehicle does not maintain safe distance from nearby vehicles.,hazard
Vehicle does not maintain safe distance from nearby vehicles.,hazard
Vehicle does not maintain safe distance from nearby vehicles.,hazard
Vehicle does not maintain safe distance from nearby vehicles.,hazard
Vehicle does not maintain safe distance from terrain and other obstacles.,hazard
Vehicle does not maintain safe distance from terrain and other obstacles.,hazard
Vehicle does not maintain safe distance from terrain and other obstacles.,hazard
Vehicle does not maintain safe distance from terrain and other obstacles.,hazard
Vehicle enters dangerous area/region.,hazard
Vehicle enters uncontrollable or unrecoverable state.,hazard
Vehicle enters uncontrollable or unrecoverable state.,hazard
Vehicle equipment operated beyond limits (experience excessive wear and tear).,hazard
"Vehicle exceeds safe operating envelope for environment (speed, lateral/longitudinal forces).",hazard
Vehicle is damaged (economic loss).,loss
Vehicle is difficult to operate.,hazard
Vehicle must brake when vehicle detected slowed or stopped object (at a few X-meters within the preset value of the safety distance) in its path.,constraint
Vehicle must illuminate the brake light to warn vehicle in the back.,constraint
Vehicle must maintain safe distance from nearby objects.,constraint
Vehicle must maintain safe distance from nearby vehicles.,constraint
Vehicle must maintain safe distance from terrain and other obstacles.,constraint
Vehicle must not expose occupants to harmful effects and/or health hazards.,constraint
Vehicle must not leave the roadway.,constraint
"Vehicle must not violate minimum safety distance to objects, road users, vehicles, etc.",constraint
Vehicle Occupant Injury.,loss
Vehicle occupants are injured during operation.,loss
vehicle occupants are injured while ACC is engaged.,loss
Vehicle occupants are injured while ACC is engaged.,loss
Vehicle occupants experience harmful conditions during vehicle operation.,hazard
Vehicle occupants exposed to harmful effects and/or health hazards.,hazard
Vehicle occupants exposed to harmful effects and/or health hazards.,hazard
Vehicle occupants exposed to harmful effects and/or health hazards.,hazard
Vehicle occupants exposed to harmful effects and/or health hazards.,hazard
"Vehicle occupants exposed to harmful effects, and/or health hazards.",hazard
Vehicle occupants injured without vehicle collision.,loss
Vehicle occupants injured without vehicle collision.,loss
Vehicle occupants injured without vehicle collision.,loss
Vehicle or payload out of flight route.,hazard
Vehicle Roll Away from Not Engaging Park.,hazard
"Vehicle stages and interfaces must be designed so that, in the event of an unintended ignition, they do not result in the vehicle explosion.",constraint
Vehicles do not maintain safe distance from each other.,hazard
Vehicles must always maintain safe distances from each other.,constraint
Vehicles must always maintain safe distances from each other.,constraint
Verify if the channels are actuated.,constraint
Verify the conformity of the products to respective certified design.,constraint
Violating a minimum of separation between vehicles and between vehicles and objects.,hazard
"Violating separation from other aircraft, terrain, obstacles.",hazard
Violation of Altitude/clear ance from terrain.,hazard
Violation of minimum distance to other aircraft.,hazard
Violation of minimum separation requirements.,hazard
Violation of minimum separation rules between the AMR/infrastructure/humans/animals.,hazard
Violation of minimum separation standards.,hazard
Violation of minimum/maximum altitude.,hazard
Water cannot flow through on demand.,hazard
"When a track section is occupied by a train, the TCC transmits control parameters representing track occupancy to other trains and issues warning signals (red) to the signal device in front of this section.",constraint
"When passengers get on or off, the door is closed.",hazard
"When performing an abort, the flight crew must follow regional contingency procedures.",constraint
"When spin zones are in use, the controller shall not consider the area clear or safe.",constraint
"When the aircraft is on the ground during takeoff or landing, and fuel flow is stuck high, when the pilot moves Throttle (TLA) to the idle, then automatically command an engine shutdown.",constraint
"When the bursting of a tire at high speed is suspected and the pilot decides to continue, the landing gear must not be retracted.",constraint
When the Train is stopped and not in a station and no emergency exists the Controller shall not open the door.,constraint
"When two aircraft are on a collision course, TCAS must always provide an RA to avoid the collision.",constraint
Wing safety shall ensure that the UAV software is updated with new airspace boundaries when they are changed.,constraint
Worker in close proximity to track or car while ride in motion.,hazard
Workers are exposed to hazardous energy.,hazard
Workers are killed or injured on the job.,loss
Workers shall not be exposed to hazardous energy.,constraint
"Workflow is subject to unexpected stress, delays in starting treatments.",hazard
Workplace environment is not suitable for human health.,hazard
Workplace methane levels are not suitable (too high).,hazard
Workplace oxygen levels are not suitable (too low).,hazard
Workplace ventilation integrity is lost.,hazard
"Wrong dose, location, or patient.",hazard
"WRONG DOSE: Dose delivered to patient is wrong in either amount, location, or timing.",hazard
Wrong radiation delivered.,hazard
Yawing at brakes release must be counteracted quickly.,constraint
Must keep the system safe.,constraint
Security must be active.,constraint
Must have minimum mission critical safety systems functional for landing.,constraint
Aircraft must fly.,constraint
Must have all systems functional when driving.,constraint
Must comply to all regulations.,constraint
Must calculate all processes in time.,constraint
No relevant function shall be lost during flight.,constraint
Must fly through a safe area.,constraint
System must be functional.,constraint
Passanger must be alive.,constraint
Verifying the system conditions is a must.,constraint
An inspection must be done in the system.,constraint
Must have minimum number of passangers in flight.,constraint
Must have all systems functional for flight.,constraint
No component shall be active when vehicle is turned off.,constraint
Must have cabin pressurization system active.,constraint
Should allow multiple users in software.,constraint
Must have all necessary weather information for flight.,constraint
Must detect all system threats.,constraint
"Should an accident occur, the airbags are activated.",constraint
Must maintain integrity of mission critical components.,constraint
Must be able to operate the system.,constraint
Drune must be dispatched.,constraint
Avoid hazardous state.,constraint
Comply to all regulations.,constraint
Aircraft flies safely.,constraint
Avoid machine overload.,constraint
Verify if all components are working.,constraint
"When encountering a dangerous situation, vehicle performs emergency maneuver.",constraint
Avoiding the contact of toxic substances.,constraint
Contact ATC when in emergency.,constraint
Aircraft keeps a safe altitude.,constraint
Maintenance of the highway only when highway is blocked.,constraint
Verify if the door is properly closed.,constraint
"During a trip to the destination, if there are people inside vehicle, remind to fasten the seatbelt.",constraint
"When the ground is clear, the pilot contacts ATC for permission, and performs landing.",constraint
Extension of landing gear only approaching ground.,constraint
User is allowed to override commands in case of emergency.,constraint
Avoid sudden braking when moving.,constraint
Ensure the vehicle has enough fuel before departing.,constraint
Always make sure to check if equipment is working as intended.,constraint
Verify if the landing gear is retracted after takeoff.,constraint
Verify the equipment state before performing maintenance.,constraint
Changing lanes only when lane is empty.,constraint
Avoid flight in altitude below permitted limit.,constraint
System is capable of defending threats.,constraint
Verify if the runway is empty.,constraint
Sudden braking olny in emergency situations.,constraint
Vehicle overtaking only when road is empty.,constraint
